MP,FG%,3P%,2P%,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PO_1._R,PO_2._R,Conf._Fin,Finals,Champion,Age,MOV,SOS,FTr,3PAr,TS%,W_pct,PW_pct
241.2,0.498,0.319,0.506,0.781,13.4,30.8,44.1,27.2,8.5,7.4,18.4,24.1,115.0,1.0,1.0,0.0,0.0,0.0,26.9,1.13,-0.32,0.374,0.044,0.559,0.5487804878048781,0.5365853658536586
241.5,0.505,0.194,0.511,0.754,15.3,26.8,42.0,25.4,9.9,4.8,18.1,26.0,113.1,1.0,0.0,0.0,0.0,0.0,25.8,3.55,-0.42,0.367,0.018,0.556,0.5853658536585366,0.6097560975609756
243.4,0.5,0.24,0.508,0.792,14.1,31.0,45.1,25.9,8.2,5.2,17.3,23.8,112.1,1.0,1.0,1.0,1.0,1.0,28.0,6.56,-0.14,0.333,0.032,0.554,0.7560975609756098,0.6951219512195121
241.2,0.509,0.254,0.52,0.759,13.0,28.0,41.0,27.0,8.5,4.7,17.7,26.2,111.0,1.0,1.0,1.0,0.0,0.0,27.2,0.89,-0.24,0.305,0.04,0.556,0.5,0.524390243902439
240.6,0.496,0.188,0.502,0.736,15.9,29.0,45.0,24.2,6.9,4.7,18.5,24.6,110.7,0.0,0.0,0.0,0.0,0.0,25.5,-3.26,0.04,0.331,0.017,0.541,0.3658536585365853,0.4024390243902439
240.9,0.495,0.195,0.501,0.74,14.6,30.3,44.9,26.9,7.6,6.3,19.0,28.3,110.6,0.0,0.0,0.0,0.0,0.0,26.8,-3.09,-0.04,0.284,0.02,0.535,0.3536585365853658,0.4024390243902439
243.4,0.5,0.228,0.507,0.755,13.3,27.6,40.9,26.4,7.1,4.4,15.9,23.2,110.4,1.0,1.0,0.0,0.0,0.0,24.7,0.43,-0.27,0.325,0.025,0.547,0.524390243902439,0.5121951219512195
240.9,0.486,0.275,0.492,0.777,14.0,27.7,41.7,27.2,8.7,4.7,18.3,26.8,110.0,1.0,0.0,0.0,0.0,0.0,26.2,-1.48,-0.15,0.345,0.026,0.542,0.4634146341463415,0.4512195121951219
241.5,0.498,0.211,0.507,0.7,14.9,28.2,43.1,26.2,9.9,6.1,19.6,27.4,110.0,1.0,1.0,0.0,0.0,0.0,25.5,1.1,0.17,0.343,0.032,0.54,0.5487804878048781,0.5365853658536586
241.8,0.467,0.243,0.474,0.743,17.0,26.5,43.4,22.4,10.1,4.2,18.5,25.7,109.9,0.0,0.0,0.0,0.0,0.0,25.6,-3.4,0.05,0.342,0.03,0.52,0.4512195121951219,0.3902439024390244
241.2,0.488,0.193,0.494,0.78,13.0,28.4,41.4,27.2,7.8,4.3,16.6,23.0,108.1,1.0,0.0,0.0,0.0,0.0,27.1,-0.17,-0.17,0.347,0.02,0.543,0.5121951219512195,0.5
243.4,0.495,0.271,0.499,0.754,14.4,29.0,43.5,24.8,9.8,8.0,19.9,24.9,107.8,1.0,0.0,0.0,0.0,0.0,27.7,2.2,0.2,0.396,0.016,0.551,0.6341463414634146,0.573170731707317
242.1,0.495,0.285,0.5,0.775,13.3,27.2,40.5,24.9,9.8,4.4,19.4,27.8,106.9,1.0,1.0,0.0,0.0,0.0,27.2,3.84,-0.05,0.367,0.024,0.552,0.573170731707317,0.6219512195121951
242.7,0.492,0.254,0.501,0.74,13.8,29.1,42.9,25.8,7.8,6.0,17.3,26.4,105.7,1.0,1.0,1.0,0.0,0.0,28.4,4.16,-0.12,0.338,0.033,0.541,0.6097560975609756,0.6341463414634146
241.2,0.483,0.232,0.491,0.766,12.2,29.2,41.5,26.5,10.2,4.9,18.6,25.1,104.5,0.0,0.0,0.0,0.0,0.0,24.4,-4.82,0.57,0.297,0.029,0.531,0.3170731707317073,0.3414634146341463
243.7,0.474,0.171,0.479,0.746,13.9,28.0,42.0,25.5,8.4,5.5,19.2,26.8,103.7,0.0,0.0,0.0,0.0,0.0,24.4,-5.18,0.5,0.36,0.017,0.526,0.3292682926829268,0.3414634146341463
242.7,0.484,0.252,0.494,0.756,12.5,29.1,41.6,26.7,6.8,3.9,17.7,24.3,102.7,1.0,0.0,0.0,0.0,0.0,26.2,-2.89,0.53,0.319,0.041,0.535,0.4268292682926829,0.4024390243902439
